,030201,030203,030204,030205,030206,030207,030208,030209,030211,030213,日期,班次,周次,星期,已使用班组
2025-10-24;早班;4,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0050010014', 'pack17', 35000, 35000, 0)]",,"[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010082', 'pack06', 35000, 35000, 0), ('MT0010010082', 'pack13', 35000, 35000, 0)]","[('MT0010010082', 'pack17', 35000, 35000, 0)]","[('MT0010010082', 'pack09', 28000, 28000, 0), ('MT0010010082', 'pack08', 28000, 28000, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]",,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-24,早班,4,Friday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-24;中班;4,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0050010014', 'pack15', 35000, 35000, 0)]",,,,"[('MT0010010082', 'pack15', 35000, 35000, 0)]",,,,,2025-10-24,中班,4,Friday,"['pack10', 'pack14', 'pack15']"
2025-10-27;早班;5,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0050010014', 'pack17', 35000, 35000, 0)]",,"[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010082', 'pack06', 35000, 35000, 0), ('MT0010010082', 'pack13', 35000, 35000, 0)]","[('MT0010010082', 'pack17', 35000, 35000, 0)]","[('MT0010010082', 'pack09', 28000, 28000, 0), ('MT0010010082', 'pack08', 28000, 28000, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]",,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-27,早班,5,Monday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-27;中班;5,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0050010014', 'pack15', 35000, 35000, 0)]",,,,"[('MT0010010082', 'pack15', 35000, 35000, 0)]",,,,,2025-10-27,中班,5,Monday,"['pack10', 'pack14', 'pack15']"
2025-10-28;早班;5,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0050010014', 'pack17', 35000, 35000, 0)]",,"[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]",,,"[('MT0020010004', 'pack09', 18000, 18000, 0), ('MT0020010004', 'pack08', 18000, 18000, 0)]",,,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-28,早班,5,Tuesday,"['pack01', 'pack02', 'pack05', 'pack08', 'pack09', 'pack11', 'pack12', 'pack16', 'pack17']"
2025-10-28;中班;5,,"[('MT0050010014', 'pack15', 35000, 34992, 0)]",,,,,,,,,2025-10-28,中班,5,Tuesday,['pack15']
2025-10-29;早班;5,,,,,,,"[('MT0020010004', 'pack09', 18000, 18000, 0), ('MT0020010004', 'pack08', 18000, 18000, 0)]",,,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-29,早班,5,Wednesday,"['pack08', 'pack09', 'pack12', 'pack16']"
2025-10-29;中班;5,,,,,,,,,,,2025-10-29,中班,5,Wednesday,[]
2025-10-30;早班;5,,,,,,,"[('MT0020010004', 'pack09', 18000, 18000, 0), ('MT0020010004', 'pack08', 18000, 18000, 0)]",,,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-30,早班,5,Thursday,"['pack08', 'pack09', 'pack12', 'pack16']"
2025-10-30;中班;5,,,,,,,,,,,2025-10-30,中班,5,Thursday,[]
2025-10-31;早班;5,,,,,,,"[('MT0020010004', 'pack09', 18000, 18000, 0), ('MT0020010004', 'pack08', 18000, 18000, 0)]",,,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-31,早班,5,Friday,"['pack08', 'pack09', 'pack12', 'pack16']"
2025-10-31;中班;5,,,,,,,,,,,2025-10-31,中班,5,Friday,[]
